BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,40,,A1,551 OAKDALE STREET,,10312,1,0,1,10000,3904,1980,1,A1,0,02/08/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,8,,A1,18 EDWIN STREET,,10312,1,0,1,7000,1976,1980,1,A1,890000,31/01/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,15,,A1,10 EDWIN STREET,,10312,1,0,1,7000,2200,1980,1,A1,950000,29/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5396,41,,A1,21 TALLMAN STREET,,10312,1,0,1,9968,3940,1990,1,A1,0,14/02/2024
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,20,,A1,1468 ARDEN AVENUE,,10312,1,0,1,5000,2200,1940,1,A1,1050000,06/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5403,4,,A2,260 SHIRLEY AVENUE,,10312,1,0,1,7500,1600,1970,1,A2,0,18/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,35,,A2,95 LENZIE STREET,,10312,1,0,1,7500,1328,1930,1,A2,743000,10/07/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,29,,A1,1740 ARDEN AVENUE,,10312,1,0,1,4250,1052,1925,1,A1,440000,20/06/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5425,42,,A1,27 SANDGAP STREET,,10312,1,0,1,5000,1950,1910,1,A1,840000,01/05/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5426,15,,A2,16 SANDGAP STREET,,10312,1,0,1,2500,632,1952,1,A2,258400,28/12/2023
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,109,,A5,56 MAY PLACE,,10312,1,0,1,2475,2395,1986,1,A5,730000,11/09/2023
